AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,Alias 1,Alias 2,Alias 3,Alias 4,Alias 5,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,CEO,President,Executive Director,,,detailed,"211,230",1.4,,,,,124.47,"258,900",0.7,38.46,62.9,99.37,#,#,"80,000","130,840","206,680",#,#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,General and Operations Mgrs,Operations Manager,General Manager,,,detailed,"3,507,810",0.4,,,,,62.18,"129,330",0.9,22.28,31.34,48.69,77.06,111.59,"46,340","65,180","101,280","160,290","232,110",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,Lawmakers,Elected Officials,congressman,senator,,detailed,"32,460",1.7,,,,,*,"68,140",1.3,*,*,*,*,*,"21,010","28,810","47,290","82,200","129,510",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-11,Advertising and Promotions Managers,Advertising and Promotions Mgrs,Advertising Manager,Promotions Manager,,,detailed,"20,630",2.9,,,,,73.38,"152,620",2.7,30.57,42.7,63.4,90.64,#,"63,580","88,810","131,870","188,530",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-21,Marketing Managers,Marketing Mgrs,Marketing Director,Brand Manager,,,detailed,"368,940",1.8,,,,,80,"166,410",0.3,38.27,51.92,75.78,100,#,"79,600","108,000","157,620","208,000",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-22,Sales Managers,Sales Mgrs,,,,,detailed,"575,880",1.3,,,,,75.77,"157,610",0.3,30.62,44.97,64.98,94.57,#,"63,700","93,540","135,160","196,700",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-32,Public Relations Managers,Public Relations Mgrs,PR Manager,PR ,,,detailed,"72,760",3.2,,,,,76.65,"159,420",1,36.61,47.69,64.79,92.23,#,"76,160","99,180","134,760","191,840",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-33,Fundraising Managers,Fundraising Mgrs,,,,,detailed,"31,810",1.9,,,,,64.24,"133,620",0.9,33.08,41.77,57.31,78.2,102.27,"68,800","86,880","119,200","162,660","212,730",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-12,Administrative Services Managers,Administrative Services Mgrs,,,,,detailed,"242,520",1.3,,,,,58.27,"121,200",0.4,30.04,39.15,51.19,67.73,90.78,"62,470","81,420","106,470","140,870","188,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-13,Facilities Managers,Facilities Mgrs,,,,,detailed,"131,400",1.2,,,,,53.42,"111,110",0.4,29.25,37.56,49.2,64.42,81.26,"60,840","78,130","102,340","133,990","169,020",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-21,Computer and Information Systems Managers,Computer and Information Systems Mgrs,,,,,detailed,"592,600",0.5,,,,,86.88,"180,720",0.3,48.84,63.35,81.5,102.91,#,"101,590","131,770","169,510","214,050",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-31,Financial Managers,Financial Mgrs,,,,,detailed,"787,340",1,,,,,84.05,"174,820",0.5,39.84,52.98,75.05,101.36,#,"82,870","110,190","156,100","210,830",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-51,Industrial Production Managers,Industrial Production Mgrs,,,,,detailed,"222,890",0.7,,,,,60.53,"125,900",0.3,34.62,44.03,56.24,72.7,91.58,"72,010","91,590","116,970","151,220","190,480",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-61,Purchasing Managers,Purchasing Mgrs,,,,,detailed,"77,530",1.2,,,,,70.53,"146,710",0.4,40.15,50.62,65.57,82.75,103.45,"83,510","105,300","136,380","172,110","215,170",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-71,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Mgrs",,,,,detailed,"198,780",0.7,,,,,53.79,"111,870",0.3,28.27,36.6,47.69,63.99,84.39,"58,810","76,120","99,200","133,090","175,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-11,Compensation and Benefits Managers,Compensation and Benefits Mgrs,HR Manager,,,,detailed,"18,690",2.6,,,,,72.57,"150,940",1.2,36.81,49.3,65.57,87.03,110.56,"76,550","102,540","136,380","181,030","229,970",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-21,Human Resources Managers,Human Resources Mgrs,HR Manager,Personnel Manager,,,detailed,"200,600",1.3,,,,,74.39,"154,740",0.4,38.97,49.68,65.55,87.56,#,"81,060","103,340","136,350","182,120",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-31,Training and Development Managers,Training and Development Mgrs,,,,,detailed,"41,540",2.4,,,,,66.56,"138,450",0.4,35.29,45.31,60.12,80.19,105.8,"73,410","94,240","125,040","166,780","220,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-13,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Mgrs",,,,,detailed,"6,150",4.7,,,,,43.35,"90,160",1.4,22.98,30.54,40.27,52.45,65.58,"47,800","63,510","83,770","109,090","136,410",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-21,Construction Managers,Construction Mgrs,Project Manager,Site Supervisor,,,detailed,"329,190",2.9,,,,,56.23,"116,960",0.5,31,39.25,50.43,65.17,82.71,"64,480","81,640","104,900","135,550","172,040",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-31,"Education and Childcare Administrators, Preschool and Daycare","Education and Childcare Admins, Preschool and Daycare",,,,,detailed,"64,090",1.7,,,,,29.48,"61,320",1.1,17.57,21.36,26.1,33.34,45.62,"36,550","44,420","54,290","69,350","94,890",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-32,"Education Administrators, Kindergarten through Secondary","Education Admins, Kindergarten through Secondary",,,,,detailed,"302,580",0.6,,,,,*,"111,020",0.3,*,*,*,*,*,"70,050","83,050","103,460","131,180","163,010",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-33,"Education Administrators, Postsecondary","Education Admins, Postsecondary",,,,,detailed,"167,270",0.3,,,,,58.66,"122,010",0.3,30.27,38.32,49.33,65.97,100.9,"62,970","79,700","102,610","137,230","209,870",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-39,"Education Administrators, All Other","Education Admins, All Other",,,,,detailed,"50,690",1.3,,,,,48.42,"100,720",0.7,23.78,31.16,42.53,57.75,76.06,"49,470","64,800","88,460","120,120","158,200",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-41,Architectural and Engineering Managers,Architectural and Engineering Mgrs,Architectural and Enging Managers,,,,detailed,"207,800",2.1,,,,,82.83,"172,290",0.5,51.63,63.89,79.5,97.61,112.31,"107,390","132,890","165,370","203,030","233,590",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-51,Food Service Managers,Food Service Mgrs,,,,,detailed,"246,070",2.1,,,,,33.45,"69,580",0.8,20.67,24.22,30.32,38.29,48.67,"42,990","50,390","63,060","79,630","101,240",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-71,Gambling Managers,Gambling Mgrs,,,,,detailed,"4,590",1.6,,,,,47.24,"98,270",1.1,24.01,31.35,39.61,54.67,76.66,"49,940","65,210","82,380","113,720","159,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-72,"Entertainment and Recreation Managers, Except Gambling","Entertainment and Recreation Mgrs, Except Gambling",,,,,detailed,"29,690",2.1,,,,,40.42,"84,080",1.2,20.54,25.71,35.32,47.68,64.27,"42,730","53,480","73,460","99,170","133,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-81,Lodging Managers,Lodging Mgrs,,,,,detailed,"41,980",1.7,,,,,36.92,"76,790",1.1,18.88,23.74,31.42,42.27,61.1,"39,270","49,380","65,360","87,930","127,090",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-11,Medical and Health Services Managers,Medical and Health Services Mgrs,,,,,detailed,"515,100",0.6,,,,,64.64,"134,440",0.5,32.65,41.38,53.21,75.79,104.21,"67,900","86,080","110,680","157,640","216,750",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-21,Natural Sciences Managers,Natural Sciences Mgrs,,,,,detailed,"96,520",1.5,,,,,81.31,"169,120",1.1,37.27,52.55,75.84,101.96,#,"77,520","109,300","157,740","212,080",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-31,Postmasters and Mail Superintendents,,,,,,detailed,"13,810",0,,,,,43.16,"89,770",0,38.01,39.9,42.63,45.99,50.45,"79,060","82,990","88,670","95,660","104,940",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-41,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Mgrs",,,,,detailed,"284,120",1.1,,,,,37.69,"78,400",1.2,18.05,23.05,30.22,44.5,65.38,"37,540","47,940","62,850","92,560","135,990",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-51,Social and Community Service Managers,Social and Community Service Mgrs,,,,,detailed,"173,650",0.8,,,,,40.1,"83,400",0.7,23.5,29.26,37.03,47.47,61.32,"48,880","60,860","77,030","98,740","127,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-61,Emergency Management Directors,Emergency Management Dirs,,,,,detailed,"11,910",2.4,,,,,45.05,"93,690",0.5,24.2,30.11,40.37,53.94,72.87,"50,340","62,630","83,960","112,190","151,560",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-71,Funeral Home Managers,Funeral Home Mgrs,,,,,detailed,"14,200",2.5,,,,,40.77,"84,800",1,21.56,28.68,36.37,47.39,63.16,"44,830","59,650","75,660","98,560","131,360",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-79,"Personal Service Managers, All Other","Personal Service Mgrs, All Other",,,,,detailed,"11,170",6.6,,,,,30.28,"62,980",2.6,14.9,19.91,27.68,35.41,48.03,"31,000","41,410","57,570","73,650","99,900",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,Nov-99,"Managers, All Other","Mgrs, All Other",,,,,detailed,"589,750",1.3,,,,,70.35,"146,320",0.3,32.39,47.11,64.21,83.9,108.23,"67,370","97,990","133,560","174,510","225,120",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Mgrs of Artists, Performers, and Athletes",,,,,detailed,"12,870",7,,,,,63.85,"132,810",4.5,22.65,29.94,40.82,62.46,#,"47,100","62,280","84,900","129,930",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,,,,,,detailed,"477,980",1,,,,,37.43,"77,850",0.4,21,26.4,34.59,45.63,58.5,"43,680","54,910","71,950","94,910","121,680",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",,,,,,detailed,"293,780",0.9,,,,,36.43,"75,770",0.3,22.79,28.26,36.08,43.8,50.69,"47,390","58,770","75,050","91,100","105,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",,,,,,detailed,"8,670",4.7,,,,,36.37,"75,660",0.8,27.35,30.62,35.83,39.78,48.19,"56,890","63,690","74,520","82,740","100,240",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,,,,,,detailed,"383,620",0.4,,,,,38.55,"80,190",0.3,21.05,27.01,36.38,48.24,59.48,"43,790","56,180","75,670","100,340","123,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,,,,,,detailed,"220,970",0.8,,,,,38.23,"79,520",0.5,21.55,27.47,35.94,46.51,59.87,"44,820","57,130","74,740","96,740","124,520",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,Human Resources Specs,,,,,detailed,"895,970",1.6,,,,,36.57,"76,060",0.3,20.62,24.76,32.53,44.42,58.56,"42,900","51,510","67,650","92,390","121,800",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1074,Farm Labor Contractors,,,,,,detailed,460,24.9,,,,,24.71,"51,400",10.9,12.84,15.37,21.98,30.76,43.1,"26,700","31,970","45,730","63,980","89,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,Labor Relations Specs,,,,,detailed,"62,800",1.1,,,,,45.49,"94,620",0.9,23.25,31.56,43.26,57.99,67.08,"48,360","65,650","89,980","120,610","139,520",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1081,Logisticians,,,,,,detailed,"228,470",0.9,,,,,40.69,"84,640",0.4,23.07,29.54,38.17,48.99,61.8,"47,990","61,440","79,400","101,890","128,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,Project Management Specs,,,,,detailed,"947,630",1.2,,,,,50.44,"104,920",0.5,27.65,35.62,47.39,62.35,78.39,"57,500","74,100","98,580","129,690","163,040",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1111,Management Analysts,,,,,,detailed,"838,140",1.6,,,,,55.54,"115,530",1.4,27.81,35.84,47.8,62.89,82.83,"57,840","74,540","99,410","130,800","172,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",,,,,,detailed,"122,130",1.3,,,,,29.94,"62,280",0.7,16.54,20.89,27.36,35.82,47.6,"34,410","43,450","56,920","74,510","99,010",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1131,Fundraisers,,,,,,detailed,"101,730",2.3,,,,,34.02,"70,760",0.8,18.96,23.83,30.85,39.96,51.3,"39,440","49,560","64,160","83,120","106,700",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specs",,,,,detailed,"99,850",1.3,,,,,38.76,"80,620",0.9,22.14,27.35,35.83,47.1,61.22,"46,050","56,890","74,530","97,960","127,340",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,Training and Development Specs,,,,,detailed,"403,480",0.7,,,,,34.6,"71,980",0.5,17.33,22.84,30.94,42.26,55.84,"36,050","47,510","64,340","87,890","116,140",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing Specs,,,,,detailed,"846,370",0.9,,,,,40,"83,190",0.4,19.25,25.4,35.9,49.26,65.89,"40,040","52,840","74,680","102,450","137,040",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other","Business Operations Specs, All Other",,,,,detailed,"1,103,440",0.4,,,,,42.85,"89,130",0.4,21.33,28.37,38.26,51.1,67.45,"44,370","59,010","79,590","106,300","140,300",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,,,,,,detailed,"1,435,770",0.4,,,,,43.65,"90,780",0.3,24.25,30.15,38.41,49.99,66,"50,440","62,720","79,880","103,990","137,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2020,Property Appraisers and Assessors,,,,,,detailed,"62,090",6,,,,,36.59,"76,110",4.7,17.42,22.39,29.63,40.19,56.05,"36,230","46,560","61,630","83,600","116,580",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2031,Budget Analysts,,,,,,detailed,"47,310",0.6,,,,,43.69,"90,880",0.4,27.29,32.95,40.84,51.67,63.29,"56,760","68,540","84,940","107,470","131,630",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,,,,,,detailed,"73,200",1.2,,,,,45.56,"94,750",0.6,24.07,29.62,38.18,52.13,79.21,"50,060","61,600","79,420","108,430","164,750",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2051,Financial and Investment Analysts,,,,,,detailed,"325,220",0.8,,,,,54.3,"112,950",0.6,29.25,36.96,47.6,62.49,84.54,"60,830","76,880","99,010","129,970","175,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,,,,,,detailed,"272,190",1.4,,,,,72.44,"150,670",1.7,23.43,31.41,47.88,81.69,#,"48,730","65,320","99,580","169,910",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,,,,,,detailed,"101,310",3.5,,,,,41.16,"85,610",0.7,23.31,29.5,37.44,49.04,63.47,"48,480","61,370","77,860","102,000","132,010",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2054,Financial Risk Specialists,Financial Risk Specs,,,,,detailed,"55,290",1.3,,,,,57.19,"118,950",0.6,29.37,38.05,51.01,67.8,88.62,"61,090","79,140","106,090","141,030","184,330",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2061,Financial Examiners,,,,,,detailed,"63,440",1.3,,,,,47.18,"98,140",0.4,23.9,30.49,40.53,58.31,79.65,"49,710","63,430","84,300","121,280","165,670",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,,,,,,detailed,"27,950",2.1,,,,,25.69,"53,440",0.6,18.01,20.18,23.35,28.84,36.07,"37,460","41,980","48,570","59,990","75,030",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2072,Loan Officers,,,,,,detailed,"321,090",0.8,,,,,40.62,"84,490",0.5,17.8,23.62,33.65,48.09,67.05,"37,020","49,130","69,990","100,020","139,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2081,"Tax Examiners and Collectors, and Revenue Agents",,,,,,detailed,"50,250",0.4,,,,,31.43,"65,370",0.1,18.12,21.81,28.14,37.75,51.76,"37,690","45,360","58,530","78,520","107,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,,,,,,detailed,"81,650",2.4,,,,,27.96,"58,160",1.2,14.02,17.15,23.56,36.55,47.5,"29,170","35,670","49,010","76,020","98,810",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,13-2099,"Financial Specialists, All Other","Financial Specs, All Other",,,,,detailed,"122,730",1.2,,,,,43.1,"89,650",0.9,20.92,27.85,37.65,50.51,67.29,"43,510","57,930","78,310","105,060","139,960",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,,,,,,detailed,"498,810",0.8,,,,,53.27,"110,800",0.5,30.4,38.64,49.9,63.74,79.66,"63,230","80,380","103,800","132,580","165,700",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,,,,,,detailed,"175,350",1.1,,,,,59.97,"124,740",0.5,33.28,43.29,57.87,73.82,87.68,"69,210","90,050","120,360","153,550","182,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,,,,,,detailed,"35,210",3.7,,,,,75.56,"157,160",1,39.16,52.88,69.75,89.02,112.07,"81,450","109,990","145,080","185,160","233,110",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,Computer Network Support Specs,,,,,detailed,"158,720",1.4,,,,,37.81,"78,640",0.7,21.95,26.3,34.39,44.5,58.61,"45,660","54,700","71,530","92,570","121,920",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,Computer User Support Specs,,,,,detailed,"689,700",0.9,,,,,30.6,"63,640",0.4,18.12,22.38,28.48,36.52,46.65,"37,690","46,550","59,240","75,950","97,020",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,,,,,,detailed,"174,100",1.3,,,,,64.39,"133,930",0.7,37.48,48.14,62.42,78.88,93.75,"77,960","100,120","129,840","164,080","195,000",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,Database Admins,,,,,detailed,"76,140",1.4,,,,,50.39,"104,810",0.8,26.12,34.59,48.8,64,75.82,"54,320","71,940","101,510","133,120","157,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1243,Database Architects,,,,,,detailed,"59,920",3.6,,,,,65.88,"137,030",1.7,36.54,50.16,64.76,80.18,93.73,"76,000","104,330","134,700","166,780","194,960",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,Network and Computer Systems Admins,,,,,detailed,"323,020",0.7,,,,,48.36,"100,580",0.5,28.21,35.77,45.84,58.61,71.49,"58,680","74,400","95,360","121,910","148,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,,,,,,detailed,"120,370",2.4,,,,,51.8,"107,750",1.1,28.34,35.87,47.94,62.33,80.4,"58,950","74,610","99,700","129,650","167,230",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1252,Software Developers,Programmer,Software Engineer,Coder,,,detailed,"1,656,880",0.7,,,,,66.4,"138,110",0.4,37.03,48.65,63.59,80.55,100.3,"77,020","101,200","132,270","167,540","208,620",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1253,Software Quality Assurance Analysts and Testers,,,,,,detailed,"203,040",1.1,,,,,52.15,"108,460",0.6,28.24,37.72,48.94,62.8,79.1,"58,740","78,470","101,800","130,630","164,520",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1254,Web Developers,Web Programmer,Front-End Developer,,,,detailed,"85,350",4.8,,,,,45.95,"95,570",1.9,22.53,29.66,40.84,55.95,75.61,"46,850","61,690","84,960","116,370","157,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1255,Web and Digital Interface Designers,,,,,,detailed,"111,060",3,,,,,52.32,"108,820",0.8,23.18,31.74,47.37,67.07,84.85,"48,210","66,020","98,540","139,500","176,490",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",,,,,,detailed,"437,170",0.8,,,,,54.05,"112,430",0.5,23.89,34.61,50.44,68.18,83.8,"49,690","71,990","104,920","141,820","174,300",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-2011,Actuaries,,,,,,detailed,"25,470",2.6,,,,,63.7,"132,500",1.4,36.24,42.51,57.69,79,100.63,"75,380","88,420","120,000","164,320","209,310",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-2021,Mathematicians,,,,,,detailed,"2,220",2.5,,,,,57.58,"119,770",0.9,29.93,39.38,55.98,71.27,88.22,"62,260","81,910","116,440","148,240","183,500",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-2031,Operations Research Analysts,,,,,,detailed,"117,880",1.2,,,,,45.96,"95,600",0.6,25.45,31.85,40.21,55.38,71.6,"52,930","66,250","83,640","115,190","148,920",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-2041,Statisticians,,,,,,detailed,"29,950",3.2,,,,,52.5,"109,190",0.8,28.22,37.57,50.05,64.88,78.54,"58,690","78,140","104,110","134,950","163,360",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,,,,,,detailed,"192,710",1.2,,,,,57.23,"119,040",0.4,29.36,38.37,51.93,70.99,88.51,"61,070","79,810","108,020","147,670","184,090",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,15-2099,"Mathematical Science Occupations, All Other",,,,,,detailed,"4,320",5.3,,,,,40.06,"83,330",4,18.46,23.94,33.95,47.95,74.59,"38,400","49,800","70,620","99,730","155,150",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-1011,"Architects, Except Landscape and Naval",,,,,,detailed,"111,170",1.3,,,,,48.27,"100,400",1.3,28.31,35.21,44.86,56.14,72.74,"58,870","73,240","93,310","116,780","151,300",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-1012,Landscape Architects,,,,,,detailed,"20,370",6.1,,,,,40.38,"83,990",1.1,24.04,29.58,38.13,46.71,60.38,"50,000","61,520","79,320","97,170","125,600",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-1021,Cartographers and Photogrammetrists,,,,,,detailed,"12,330",4,,,,,37.89,"78,810",0.8,23.39,29.06,36.64,45.97,54.59,"48,660","60,430","76,210","95,610","113,540",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-1022,Surveyors,,,,,,detailed,"50,740",3.9,,,,,35.58,"74,000",0.8,19.92,24.51,32.95,44,52.72,"41,430","50,970","68,540","91,520","109,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-2011,Aerospace Engineers,Aerospace Engs,,,,,detailed,"66,660",1.6,,,,,64.58,"134,330",0.7,39.24,48.91,62.85,80.1,90.82,"81,620","101,730","130,720","166,610","188,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-2021,Agricultural Engineers,Agricultural Engs,,,,,detailed,"1,860",19.8,,,,,44.95,"93,490",2.1,29.88,38.28,42.67,48.57,61.34,"62,150","79,620","88,750","101,030","127,590",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-2031,Bioengineers and Biomedical Engineers,Bioengineers and Biomedical Engs,,,,,detailed,"19,320",3.5,,,,,51.3,"106,700",0.8,32.74,39.12,48.43,60.47,74.21,"68,100","81,370","100,730","125,780","154,350",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-2041,Chemical Engineers,Chemical Engs,,,,,detailed,"21,140",3.3,,,,,59.09,"122,910",2.1,36.37,44.05,53.9,68.66,84.82,"75,650","91,630","112,100","142,810","176,420",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-2051,Civil Engineers,Civil Engs,,,,,detailed,"327,950",1.5,,,,,48.64,"101,160",0.5,30.4,36.78,46.1,59.14,72.42,"63,220","76,500","95,890","123,010","150,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-2061,Computer Hardware Engineers,Computer Hardware Engs,,,,,detailed,"82,660",2.3,,,,,71.04,"147,770",1.3,39.25,52.24,66.38,84.33,102.29,"81,630","108,670","138,080","175,400","212,770",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-2071,Electrical Engineers,Electrical Engs,,,,,detailed,"185,430",1.8,,,,,56.58,"117,680",0.7,33.33,40,51.42,65.93,82.72,"69,320","83,200","106,950","137,140","172,050",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-2072,"Electronics Engineers, Except Computer","Electronics Engs, Except Computer",,,,,detailed,"96,410",1.5,,,,,59.71,"124,190",0.6,36.87,44.9,57.31,72.89,86.39,"76,700","93,380","119,200","151,610","179,690",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,17-2081,Environmental Engineers,Environmental Engs,,,,,detailed,"39,880",2.2,,,,,50.89,"105,840",0.7,30.47,37.81,48.12,60.35,75.26,"63,370","78,640","100,090","125,520","156,530",,
